,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
42,M43,83.87916667,-5.27,5.0,35.0,31.000000800003846,-0.0,-21.0,-4.800000000000111,83.0,52.0,45.00001200001293,-5.0,-16.0,-11.999999999998465
43,M44,130.1,19.66666667,8.0,40.0,24.00000000000162,1.0,18.0,40.00000080000078,130.0,5.0,59.999999999979536,19.0,40.0,1.2000005256140867e-05
44,M45,56.75,24.11666667,3.0,47.0,2.5579538487363607e-12,1.0,36.0,28.00000080000146,56.0,45.0,0.0,24.0,7.0,1.2000002698187018e-05
45,M46,115.44166667,-14.81,7.0,41.0,46.000000800005125,-0.0,-59.0,-14.400000000000546,115.0,26.0,30.00001200001293,-14.0,-48.0,-36.00000000000179
46,M47,114.14583333,-14.48333333,7.0,36.0,34.99999920000732,-0.0,-57.0,-55.999999200001014,114.0,8.0,44.999988000007534,-14.0,-28.0,-59.99998800000242
47,M48,123.42916667,-5.75,8.0,13.0,43.00000080000402,-0.0,-23.0,-2.1316282072803006e-13,123.0,25.0,45.0000120000027,-5.0,-45.0,-0.0
48,M49,187.44499167,8.00041111,12.0,29.0,46.7980008000103,0.0,32.0,0.09866640000041116,187.0,26.0,41.9700120000266,8.0,0.0,1.4799959999997725
49,M50,105.69791667,-8.33777778,7.0,2.0,47.500000800005466,-0.0,-33.0,-21.066667200000353,105.0,41.0,52.500011999992466,-8.0,-20.0,-16.0000079999989
50,M51,202.469575,47.19525833,13.0,29.0,52.69800000000572,3.0,8.0,46.86199920000227,202.0,28.0,10.469999999970696,47.0,11.0,42.929988000005324
51,M52,351.2,61.59333333,23.0,24.0,48.00000000001518,4.0,6.0,22.399999200001517,351.0,11.0,59.99999999995907,61.0,35.0,35.99998800000037
52,M53,198.23020833,18.16816667,13.0,12.0,55.24999920001321,1.0,12.0,40.36000080000132,198.0,13.0,48.74998800003823,18.0,10.0,5.400012000005461
53,M54,283.763875,-30.47986111,18.0,55.0,3.3300000000124896,-2.0,-1.0,-55.16666640000146,283.0,45.0,49.94999999994434,-30.0,-28.0,-47.49999600000592
54,M55,294.99879167,-30.96475,19.0,39.0,59.71000080001602,-2.0,-3.0,-51.54000000000128,294.0,59.0,55.650012000010065,-30.0,-57.0,-53.09999999999519
55,M56,289.14820833,30.18347222,19.0,16.0,35.56999920000493,2.0,0.0,44.03333280000066,289.0,8.0,53.54998799995883,30.0,11.0,0.4999919999954727
56,M57,283.39623732,33.02913421,18.0,53.0,35.096956800016414,2.0,12.0,6.992210400001504,283.0,23.0,46.45435200004158,33.0,1.0,44.88315600000817
